openml_id;openml_tid;origin
41138;168868.0;tabdpt_cls
4135;34539.0;tabdpt_cls
40981;146818.0;tabdpt_cls
61;59.0;tabdpt_cls
451;3543.0;tabdpt_cls
20;;tabdpt_cls
53;;tabdpt_cls
56;;tabdpt_cls
44147;361087;tabdpt_reg
44148;361088;tabdpt_reg
45032;361279;tabdpt_reg
45033;361280;tabdpt_reg
45034;361281;tabdpt_reg
42225;233211;tabdpt_reg
42571;233212;tabdpt_reg
42724;359941;tabdpt_reg
4135;;realpfn_cls
1459;;realpfn_cls
44234;;realpfn_cls
44234;;realpfn_cls
251;;realpfn_cls
137;;realpfn_cls
41434;;realpfn_cls
4154;;realpfn_cls
40668;;realpfn_cls